"Subnational unit (province, state)",1995,2000,2005,2010,2015,2020,2025
Anhui,0,170.0,0,245,1350,230,313.664
Chongqing,0,0.0,0,370,610,504,687.332
Fujian,0,0.0,300,500,1790,60,81.825
Gansu,0,0.0,250,2880,3030,1750,2386.571
Guangdong,50,0.0,563,2793,3430,1030,1404.667
Guangxi,0,0.0,0,150,420,1190,1622.868
Guizhou,0,0.0,0,350,750,300,409.126
Hainan,0,0.0,300,0,0,0,0.0
Hebei,0,1156.0,0,5660,4050,6560,8946.231
Heilongjiang,0,200.0,350,2300,3175,1761,2401.572
Henan,0,60.0,1120,5750,2720,3070,4186.727
Hubei,100,770.0,0,2930,2040,1135,1547.862
Hunan,0,0.0,0,100,0,0,0.0
InnerMongolia,0,500.0,4620,11740,9310,10332,14090.314
Jiangsu,275,410.0,2602,2037,840,2340,3191.186
Jiangxi,0,0.0,0,100,40,125,170.469
Jilin,0,375.0,946,2520,2920,1080,1472.855
Liaoning,50,200.0,345,3255,3090,3950,5386.831
Ningxia,0,0.0,150,900,660,2320,3163.911
Qinghai,0,0.0,0,0,350,350,477.314
Shaanxi,0,0.0,1010,3070,2100,4400,6000.521
Shandong,124,490.0,3755,4344,18786,9361,12766.108
Shanghai,50,350.0,100,2600,100,0,0.0
Shanxi,0,130.0,1240,4840,4990,4670,6368.735
Sichuan,0,0.0,0,0,165,0,0.0
Tianjin,0,0.0,0,860,700,0,0.0
Xinjiang,0,150.0,270,2790,15805,8375,11421.446
Zhejiang,0,184.8,694,622,710,318,433.674
