Region,2010,2015,2020,2025
Beijing,0,76,544,1305.0
Tianjin,0,121,1519,8236.0
Hebei,0,2219,19681,59621.0
Shanxi,0,1115,11975,35256.0
InnerMongolia,0,4705,7665,38537.0
Liaoning,0,163,3837,11116.0
Jilin,0,67,3313,3632.0
Heilongjiang,0,21,3159,5455.0
Shanghai,0,211,1159,4344.0
Jiangsu,0,4224,12616,69275.0
Zhejiang,0,1637,13533,45886.0
Anhui,0,1208,12492,40681.0
Fujian,0,129,1891,14316.0
Jiangxi,0,435,7325,20348.0
Shandong,0,1327,21393,69008.0
Henan,0,408,11342,40826.0
Hubei,0,480,6500,36645.0
Hunan,0,169,3741,22261.0
Guangdong,0,617,7353,50920.0
Guangxi,0,122,1928,27533.0
Hainan,0,159,1271,8048.0
Chongqing,0,0,670,4714.0
Sichuan,0,364,1546,14477.0
Guizhou,0,30,10540,17113.0
Yunnan,0,1174,2706,48126.0
Tibet,0,170,1200,4019.0
Shaanxi,0,720,10170,29618.0
Gansu,0,6096,3724,26661.0
Qinghai,0,5630,10380,22677.0
Ningxia,0,3088,8882,23334.0
Xinjiang,0,5287,7373,67300.0
