province,C_th_MWh_per_K_central,deltaT_K_central,standing_loss_per_hour_central,C_th_MWh_per_K_decentral,deltaT_K_decentral,standing_loss_per_hour_decentral
Anhui,0.0,0.0,0.2,0.0,0.0,0.2
Beijing,0.0,0.0,0.2,0.0,0.0,0.2
Chongqing,0.0,0.0,0.2,0.0,0.0,0.2
Fujian,0.0,0.0,0.2,0.0,0.0,0.2
Gansu,0.0,0.0,0.2,0.0,0.0,0.2
Guangdong,0.0,0.0,0.2,0.0,0.0,0.2
Guangxi,0.0,0.0,0.2,0.0,0.0,0.2
Guizhou,0.0,0.0,0.2,0.0,0.0,0.2
Hainan,0.0,0.0,0.2,0.0,0.0,0.2
Hebei,0.0,0.0,0.2,0.0,0.0,0.2
Heilongjiang,0.0,0.0,0.2,0.0,0.0,0.2
Henan,0.0,0.0,0.2,0.0,0.0,0.2
Hubei,0.0,0.0,0.2,0.0,0.0,0.2
Hunan,0.0,0.0,0.2,0.0,0.0,0.2
InnerMongolia,0.0,0.0,0.2,0.0,0.0,0.2
Jiangsu,0.0,0.0,0.2,0.0,0.0,0.2
Jiangxi,0.0,0.0,0.2,0.0,0.0,0.2
Jilin,0.0,0.0,0.2,0.0,0.0,0.2
Liaoning,0.0,0.0,0.2,0.0,0.0,0.2
Ningxia,0.0,0.0,0.2,0.0,0.0,0.2
Qinghai,0.0,0.0,0.2,0.0,0.0,0.2
Shaanxi,0.0,0.0,0.2,0.0,0.0,0.2
Shandong,0.0,0.0,0.2,0.0,0.0,0.2
Shanghai,0.0,0.0,0.2,0.0,0.0,0.2
Shanxi,0.0,0.0,0.2,0.0,0.0,0.2
Sichuan,0.0,0.0,0.2,0.0,0.0,0.2
Tianjin,0.0,0.0,0.2,0.0,0.0,0.2
Tibet,0.0,0.0,0.2,0.0,0.0,0.2
Xinjiang,0.0,0.0,0.2,0.0,0.0,0.2
Yunnan,0.0,0.0,0.2,0.0,0.0,0.2
Zhejiang,0.0,0.0,0.2,0.0,0.0,0.2
