province,hydro_10kw,onwind_10kw,offwind_10kw,solar_10kw
National,69440,489204,298200,1580318
Beijing,0,39,0,1040
Tianjin,0,26,213,557
Hebei,227,23991,841,6366
Shanxi,563,16630,0,46776
InnerMongolia,581,161016,0,946787
Liaoning,203,5099,3248,4176
Jilin,344,10669,0,5924
Heilongjiang,758,18771,0,9374
Shanghai,0,246,406,466
Jiangsu,174,5241,2243,6858
Zhejiang,614,1450,3899,4621
Anhui,312,7020,0,6236
Fujian,1074,3803,2501,2849
Jiangxi,486,3661,0,6601
Shandong,117,18430,3603,7642
Henan,471,9116,0,8636
Hubei,1721,3798,0,7704
Hunan,1327,3558,0,8803
Guangdong,607,9252,3863,4790
Guangxi,1764,12928,112,8465
Hainan,84,5656,800,5818
Chongqing,2296,1402,0,3427
Sichuan,14352,14325,0,10855
Guizhou,1809,6247,0,6195
Yunnan,10439,14168,0,12465
Tibet,20136,47609,0,31773
Shaanxi,1277,10340,0,9446
Gansu,1489,17626,0,13274
Qinghai,2187,14227,0,300834
Ningxia,210,3900,0,45639
Xinjiang,3818,38960,0,45921
