year_month,smelter_power_MW_mean,smelter_energy_MWh,smelter_production_tonnes,smelter_production_Mt,storage_Mt_mean,storage_Mt_min,storage_Mt_max
2050-01,1.338592636886059,995.9129218432279,74.32185983904685,7.432185983904685e-05,1.493065196748608,0.9983277140165531,1.9878030932081916
2050-02,738.607457161522,496344.2112125428,37040.61277705543,0.03704061277705543,0.5552662069819794,0.140656642214659,0.9969959828706395
2050-03,21438.543660485673,15950276.483401341,1190319.140552339,1.190319140552339,0.1625835547939939,0.03330428738066662,0.3490435597327086
2050-04,25304.62988993492,18219333.52075314,1359651.7552800851,1.359651755280085,0.5548072693798123,0.34961433308105033,0.7600002047266784
2050-05,25303.791460414814,18826020.84654862,1404926.928846912,1.404926928846912,0.9725948528662879,0.7605709780750199,1.1846085029324889
2050-06,25288.63346042217,18207816.091503963,1358792.245634624,1.358792245634624,1.3903282791713305,1.1851792762808302,1.594699175802447
2050-07,24830.496168112048,18473889.149075363,1378648.443960848,1.378648443960848,1.7984988927744405,1.5951731051300944,1.9928314065290695
2050-08,24934.195981918554,18551041.810547404,1384406.1052647317,1.3844061052647316,2.1951135861760442,1.9934020693361196,2.396764589246073
2050-09,25022.078416875087,18015896.460150063,1344469.8850858256,1.3444698850858257,2.5971211929106843,2.397335252053123,2.7924252146458226
2050-10,25034.63586672522,18625769.084843565,1389982.7675256392,1.389982767525639,3.0009909401627106,2.7929959879941646,3.2019769894151815
2050-11,13611.878595398432,9800552.58868687,731384.5215437963,0.7313845215437963,3.2460150012729527,2.979942586885356,3.35778013494283
2050-12,1.3269337993373314,987.2387467069746,73.67453333634138,7.367453333634139e-05,2.483872754228736,1.9891348243541844,2.9786108557394426
